
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
RESA-0804V-4x_10.0k_5%           RA743                            167   1   2   1   4 5      5 0 V_MPU.6             8339457
SMD03225C4-4-25.000MHz           ZQ241                            160   1   1   1   1 1      1 0 XSIG010148          315393
SMD03225C4-4-25.000MHz           ZQ241                            160   1   2   2   1 4      4 0 XSIG010146          311297
SMD03225C4-4-25.000MHz           ZQ241                              0   4   1   1   2 2      2 1                        0
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
SMD03225C4-4-25.000MHz           ZQ241                              0   4   1   1   3 3      3 1                        0
SMD03225C4-4-25.000MHz           ZQ341                            159   1   1   1   1 1      1 0 XSIG011413          4124673
SMD03225C4-4-25.000MHz           ZQ341                            159   1   2   2   1 4      4 0 XSIG011411          4120577
SMD03225C4-4-25.000MHz           ZQ341                              0   4   1   1   2 2      2 1                        0
SMD03225C4-4-25.000MHz           ZQ341                              0   4   1   1   3 3      3 1                        0
SMD03225C4-4-25.000MHz           ZQ441                            158   1   1   1   1 1      1 0 XSIG011515          4464641
SMD03225C4-4-25.000MHz           ZQ441                            158   1   2   2   1 4      4 0 XSIG011513          4460545
SMD03225C4-4-25.000MHz           ZQ441                              0   4   1   1   2 2      2 1                        0
SMD03225C4-4-25.000MHz           ZQ441                              0   4   1   1   3 3      3 1                        0
SMD03225C4-4-25.000MHz           ZQ541                            157   1   1   1   1 1      1 0 XSIG011600          4739073
SMD03225C4-4-25.000MHz           ZQ541                            157   1   2   2   1 4      4 0 XSIG011598          4734977
SMD03225C4-4-25.000MHz           ZQ541                              0   4   1   1   2 2      2 1                        0
SMD03225C4-4-25.000MHz           ZQ541                              0   4   1   1   3 3      3 1                        0
SMD03225C4-4-25.000MHz           ZQ641                            156   1   1   1   1 1      1 0 XSIG011685          5013505
SMD03225C4-4-25.000MHz           ZQ641                            156   1   2   2   1 4      4 0 XSIG011683          5009409
SMD03225C4-4-25.000MHz           ZQ641                              0   4   1   1   2 2      2 1                        0
SMD03225C4-4-25.000MHz           ZQ641                              0   4   1   1   3 3      3 1                        0
SMD03225C4-4-25.000MHz           ZQ741                            155   1   1   1   1 1      1 0 XSIG011770          5287937
SMD03225C4-4-25.000MHz           ZQ741                            155   1   2   2   1 4      4 0 XSIG011768          5283841
SMD03225C4-4-25.000MHz           ZQ741                              0   4   1   1   2 2      2 1                        0
SMD03225C4-4-25.000MHz           ZQ741                              0   4   1   1   3 3      3 1                        0
SN65HVD233D                      DD201                            251   1   1   1   1 7      7 0 CANH.A              7548929
SN65HVD233D                      DD201                            251   1   2   2   1 6      6 0 CANL.A              7553025
SN65HVD233D                      DD201                            251   1   3   3   1 1      1 0 CAN1_TX.1           7327745
SN65HVD233D                      DD201                            251   1   4   4   1 5      5 0 GND                 8224769
SN65HVD233D                      DD201                            251   1   5   5   1 4      4 0 CAN1_RX.1           7331841
SN65HVD233D                      DD201                            251   1   6   6   1 8      8 0 CAN1.1              7335937
SN65HVD233D                      DD201                            251   2   1   1   2 3      3 0 V_CAN.1             7372801
SN65HVD233D                      DD201                            251   3   1   1   3 2      2 0 GND                 8224769
SN65HVD233D                      DD202                            245   1   1   1   1 7      7 0 CANH.B              7581697
SN65HVD233D                      DD202                            245   1   2   2   1 6      6 0 CANL.B              7585793
SN65HVD233D                      DD202                            245   1   3   3   1 1      1 0 CAN2_TX.1           7360513
SN65HVD233D                      DD202                            245   1   4   4   1 5      5 0 GND                 8224769
SN65HVD233D                      DD202                            245   1   5   5   1 4      4 0 CAN2_RX.1           7364609
SN65HVD233D                      DD202                            245   1   6   6   1 8      8 0 CAN2.1              7368705
SN65HVD233D                      DD202                            245   2   1   1   2 3      3 0 V_CAN.1             7372801
SN65HVD233D                      DD202                            245   3   1   1   3 2      2 0 GND                 8224769
SN65HVD233D                      DD301                            252   1   1   1   1 7      7 0 CANH.A              7548929
SN65HVD233D                      DD301                            252   1   2   2   1 6      6 0 CANL.A              7553025
SN65HVD233D                      DD301                            252   1   3   3   1 1      1 0 CAN1_TX.2           7532545
SN65HVD233D                      DD301                            252   1   4   4   1 5      5 0 GND                 8224769
SN65HVD233D                      DD301                            252   1   5   5   1 4      4 0 CAN1_RX.2           7536641
SN65HVD233D                      DD301                            252   1   6   6   1 8      8 0 CAN1.2              7540737
SN65HVD233D                      DD301                            252   2   1   1   2 3      3 0 V_CAN.2             7577601
SN65HVD233D                      DD301                            252   3   1   1   3 2      2 0 GND                 8224769
SN65HVD233D                      DD302                            246   1   1   1   1 7      7 0 CANH.B              7581697
SN65HVD233D                      DD302                            246   1   2   2   1 6      6 0 CANL.B              7585793
SN65HVD233D                      DD302                            246   1   3   3   1 1      1 0 CAN2_TX.2           7565313
SN65HVD233D                      DD302                            246   1   4   4   1 5      5 0 GND                 8224769
SN65HVD233D                      DD302                            246   1   5   5   1 4      4 0 CAN2_RX.2           7569409
SN65HVD233D                      DD302                            246   1   6   6   1 8      8 0 CAN2.2              7573505
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
SN65HVD233D                      DD302                            246   2   1   1   2 3      3 0 V_CAN.2             7577601
SN65HVD233D                      DD302                            246   3   1   1   3 2      2 0 GND                 8224769
SN65HVD233D                      DD401                            253   1   1   1   1 7      7 0 CANH.A              7548929
SN65HVD233D                      DD401                            253   1   2   2   1 6      6 0 CANL.A              7553025
SN65HVD233D                      DD401                            253   1   3   3   1 1      1 0 CAN1_TX.3           7122945
SN65HVD233D                      DD401                            253   1   4   4   1 5      5 0 GND                 8224769
SN65HVD233D                      DD401                            253   1   5   5   1 4      4 0 CAN1_RX.3           7127041
SN65HVD233D                      DD401                            253   1   6   6   1 8      8 0 CAN1.3              7131137
SN65HVD233D                      DD401                            253   2   1   1   2 3      3 0 V_CAN.3             7168001
SN65HVD233D                      DD401                            253   3   1   1   3 2      2 0 GND                 8224769
SN65HVD233D                      DD402                            247   1   1   1   1 7      7 0 CANH.B              7581697
SN65HVD233D                      DD402                            247   1   2   2   1 6      6 0 CANL.B              7585793
SN65HVD233D                      DD402                            247   1   3   3   1 1      1 0 CAN2_TX.3           7155713
SN65HVD233D                      DD402                            247   1   4   4   1 5      5 0 GND                 8224769
SN65HVD233D                      DD402                            247   1   5   5   1 4      4 0 CAN2_RX.3           7159809
SN65HVD233D                      DD402                            247   1   6   6   1 8      8 0 CAN2.3              7163905
SN65HVD233D                      DD402                            247   2   1   1   2 3      3 0 V_CAN.3             7168001
SN65HVD233D                      DD402                            247   3   1   1   3 2      2 0 GND                 8224769
SN65HVD233D                      DD501                            256   1   1   1   1 7      7 0 CANH.A              7548929
SN65HVD233D                      DD501                            256   1   2   2   1 6      6 0 CANL.A              7553025
SN65HVD233D                      DD501                            256   1   3   3   1 1      1 0 CAN1_TX.4           6627329
SN65HVD233D                      DD501                            256   1   4   4   1 5      5 0 GND                 8224769
SN65HVD233D                      DD501                            256   1   5   5   1 4      4 0 CAN1_RX.4           6631425
SN65HVD233D                      DD501                            256   1   6   6   1 8      8 0 CAN1.4              6635521
SN65HVD233D                      DD501                            256   2   1   1   2 3      3 0 V_CAN.4             6672385
SN65HVD233D                      DD501                            256   3   1   1   3 2      2 0 GND                 8224769
SN65HVD233D                      DD502                            250   1   1   1   1 7      7 0 CANH.B              7581697
SN65HVD233D                      DD502                            250   1   2   2   1 6      6 0 CANL.B              7585793
SN65HVD233D                      DD502                            250   1   3   3   1 1      1 0 CAN2_TX.4           6660097
SN65HVD233D                      DD502                            250   1   4   4   1 5      5 0 GND                 8224769
SN65HVD233D                      DD502                            250   1   5   5   1 4      4 0 CAN2_RX.4           6664193
SN65HVD233D                      DD502                            250   1   6   6   1 8      8 0 CAN2.4              6668289
SN65HVD233D                      DD502                            250   2   1   1   2 3      3 0 V_CAN.4             6672385
SN65HVD233D                      DD502                            250   3   1   1   3 2      2 0 GND                 8224769
SN65HVD233D                      DD601                            255   1   1   1   1 7      7 0 CANH.A              7548929
SN65HVD233D                      DD601                            255   1   2   2   1 6      6 0 CANL.A              7553025
SN65HVD233D                      DD601                            255   1   3   3   1 1      1 0 CAN1_TX.5           6832129
SN65HVD233D                      DD601                            255   1   4   4   1 5      5 0 GND                 8224769
SN65HVD233D                      DD601                            255   1   5   5   1 4      4 0 CAN1_RX.5           6836225
SN65HVD233D                      DD601                            255   1   6   6   1 8      8 0 CAN1.5              6840321
SN65HVD233D                      DD601                            255   2   1   1   2 3      3 0 V_CAN.5             6877185
SN65HVD233D                      DD601                            255   3   1   1   3 2      2 0 GND                 8224769
SN65HVD233D                      DD602                            249   1   1   1   1 7      7 0 CANH.B              7581697
SN65HVD233D                      DD602                            249   1   2   2   1 6      6 0 CANL.B              7585793
SN65HVD233D                      DD602                            249   1   3   3   1 1      1 0 CAN2_TX.5           6864897
SN65HVD233D                      DD602                            249   1   4   4   1 5      5 0 GND                 8224769
SN65HVD233D                      DD602                            249   1   5   5   1 4      4 0 CAN2_RX.5           6868993
SN65HVD233D                      DD602                            249   1   6   6   1 8      8 0 CAN2.5              6873089
SN65HVD233D                      DD602                            249   2   1   1   2 3      3 0 V_CAN.5             6877185
SN65HVD233D                      DD602                            249   3   1   1   3 2      2 0 GND                 8224769
SN65HVD233D                      DD701                            254   1   1   1   1 7      7 0 CANH.A              7548929
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
SN65HVD233D                      DD701                            254   1   2   2   1 6      6 0 CANL.A              7553025
SN65HVD233D                      DD701                            254   1   3   3   1 1      1 0 CAN1_TX.6           6422529
SN65HVD233D                      DD701                            254   1   4   4   1 5      5 0 GND                 8224769
SN65HVD233D                      DD701                            254   1   5   5   1 4      4 0 CAN1_RX.6           6426625
SN65HVD233D                      DD701                            254   1   6   6   1 8      8 0 CAN1.6              6430721
SN65HVD233D                      DD701                            254   2   1   1   2 3      3 0 V_CAN.6             6467585
SN65HVD233D                      DD701                            254   3   1   1   3 2      2 0 GND                 8224769
SN65HVD233D                      DD702                            248   1   1   1   1 7      7 0 CANH.B              7581697
SN65HVD233D                      DD702                            248   1   2   2   1 6      6 0 CANL.B              7585793
SN65HVD233D                      DD702                            248   1   3   3   1 1      1 0 CAN2_TX.6           6455297
SN65HVD233D                      DD702                            248   1   4   4   1 5      5 0 GND                 8224769
SN65HVD233D                      DD702                            248   1   5   5   1 4      4 0 CAN2_RX.6           6459393
SN65HVD233D                      DD702                            248   1   6   6   1 8      8 0 CAN2.6              6463489
SN65HVD233D                      DD702                            248   2   1   1   2 3      3 0 V_CAN.6             6467585
SN65HVD233D                      DD702                            248   3   1   1   3 2      2 0 GND                 8224769
STM32F405RG                      DD242                            154   1   1   1   1 60    60 0 BOOT.1              434177
STM32F405RG                      DD242                            154   1   2   2   1 7      7 0 NRST.1              5832705
STM32F405RG                      DD242                            154   1   3   3   1 14    14 0 H1.1                8130561
STM32F405RG                      DD242                            154   1   4   4   1 15    15 0 H2.1                8134657
STM32F405RG                      DD242                            154   1   5   5   1 16    16 0 H3.1                8138753
STM32F405RG                      DD242                            154   1   6   6   1 17    17 0                        0
STM32F405RG                      DD242                            154   1   7   7   1 20    20 0 XSIG012763          8122369
STM32F405RG                      DD242                            154   1   8   8   1 21    21 0 PA5.1               8163329
STM32F405RG                      DD242                            154   1   9   9   1 22    22 0                        0
STM32F405RG                      DD242                            154   1  10  10   1 23    23 0 T8_CH1N.1           7946241
STM32F405RG                      DD242                            154   1  11  11   1 41    41 0 CAN1_S.1            7983105
STM32F405RG                      DD242                            154   1  12  12   1 42    42 0 CAN2_S.1            7979009
STM32F405RG                      DD242                            154   1  13  13   1 43    43 0 CAN1.1              7335937
STM32F405RG                      DD242                            154   1  14  14   1 44    44 0 CAN1_RX.1           7331841
STM32F405RG                      DD242                            154   1  15  15   1 45    45 0 CAN1_TX.1           7327745
STM32F405RG                      DD242                            154   1  16  16   1 46    46 0 SWDIO.1             5828609
STM32F405RG                      DD242                            154   1  17  17   1 49    49 0 SWCLK.1             5824513
STM32F405RG                      DD242                            154   1  18  18   1 50    50 0 CAN_EN.1            8245249
STM32F405RG                      DD242                            154   1  19  19   1 26    26 0                        0
STM32F405RG                      DD242                            154   1  20  20   1 27    27 0                        0
STM32F405RG                      DD242                            154   1  21  21   1 28    28 0                        0
STM32F405RG                      DD242                            154   1  22  22   1 55    55 0 PON.1               585729
STM32F405RG                      DD242                            154   1  23  23   1 56    56 0 CAN2.1              7368705
STM32F405RG                      DD242                            154   1  24  24   1 57    57 0 CAN2_RX.1           7364609
STM32F405RG                      DD242                            154   1  25  25   1 58    58 0 CAN2_TX.1           7360513
STM32F405RG                      DD242                            154   1  26  26   1 59    59 0 MOT_EN.1            4042753
STM32F405RG                      DD242                            154   1  27  27   1 61    61 0 I2C1_SCL.1          7663617
STM32F405RG                      DD242                            154   1  28  28   1 62    62 0 I2C1_SDA.1          7667713
STM32F405RG                      DD242                            154   1  29  29   1 29    29 0                        0
STM32F405RG                      DD242                            154   1  30  30   1 30    30 0                        0
STM32F405RG                      DD242                            154   1  31  31   1 33    33 0                        0
STM32F405RG                      DD242                            154   1  32  32   1 34    34 0 XSIG010186          466945
STM32F405RG                      DD242                            154   1  33  33   1 35    35 0 T8_CH2N.1           7618561
STM32F405RG                      DD242                            154   1  34  34   1 36    36 0 T8_CH3N.1           8568833
STM32F405RG                      DD242                            154   1  35  35   1 8      8 0                        0
STM32F405RG                      DD242                            154   1  36  36   1 9      9 0                        0
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
STM32F405RG                      DD242                            154   1  37  37   1 10    10 0                        0
STM32F405RG                      DD242                            154   1  38  38   1 11    11 0 U.1                 8126465
STM32F405RG                      DD242                            154   1  39  39   1 24    24 0                        0
STM32F405RG                      DD242                            154   1  40  40   1 25    25 0                        0
STM32F405RG                      DD242                            154   1  41  41   1 37    37 0 T8_CH1.1            8548353
STM32F405RG                      DD242                            154   1  42  42   1 38    38 0 T8_CH2.1            8556545
STM32F405RG                      DD242                            154   1  43  43   1 39    39 0 T8_CH3.1            8564737
STM32F405RG                      DD242                            154   1  44  44   1 40    40 0                        0
STM32F405RG                      DD242                            154   1  45  45   1 51    51 0 XSIG012804          8249345
STM32F405RG                      DD242                            154   1  46  46   1 52    52 0 XSIG012805          8253441
STM32F405RG                      DD242                            154   1  47  47   1 53    53 0 XSIG012806          8257537
STM32F405RG                      DD242                            154   1  48  48   1 2      2 0 PC13.1              499713
STM32F405RG                      DD242                            154   1  49  49   1 3      3 0 PC14.1              7647233
STM32F405RG                      DD242                            154   1  50  50   1 4      4 0 PC15.1              7639041
STM32F405RG                      DD242                            154   1  51  51   1 54    54 0 PG.1                5795841
STM32F405RG                      DD242                            154   1  52  52   1 5      5 0 XSIG010148          315393
STM32F405RG                      DD242                            154   1  53  53   1 6      6 0 XSIG010146          311297
STM32F405RG                      DD242                            154   1  54  54   1 31    31 0 XSIG010291          876545
STM32F405RG                      DD242                            154   1  55  55   1 47    47 0 XSIG010163          372737
STM32F405RG                      DD242                            154   2   1   1   2 63    63 0 GND                 8224769
STM32F405RG                      DD242                            154   2   1   1   3 18    18 0 GND                 8224769
STM32F405RG                      DD242                            154   2   1   1   4 12    12 0 GND                 8224769
STM32F405RG                      DD242                            154   2   1   1   5 1      1 0 V_MPU.1             8282113
STM32F405RG                      DD242                            154   3   1   1   6 64    64 0 V_MPU.1             8282113
STM32F405RG                      DD242                            154   3   1   1   7 48    48 0 V_MPU.1             8282113
STM32F405RG                      DD242                            154   3   1   1   8 32    32 0 V_MPU.1             8282113
STM32F405RG                      DD242                            154   3   1   1   9 19    19 0 V_MPU.1             8282113
STM32F405RG                      DD242                            154   3   1   1  10 13    13 0 V_MPU.1             8282113
STM32F405RG                      DD342                            153   1   1   1   1 60    60 0 BOOT.2              4218881
STM32F405RG                      DD342                            153   1   2   2   1 7      7 0 NRST.2              5873665
STM32F405RG                      DD342                            153   1   3   3   1 14    14 0 H1.2                8101889
STM32F405RG                      DD342                            153   1   4   4   1 15    15 0 H2.2                8105985
STM32F405RG                      DD342                            153   1   5   5   1 16    16 0 H3.2                8110081
STM32F405RG                      DD342                            153   1   6   6   1 17    17 0                        0
STM32F405RG                      DD342                            153   1   7   7   1 20    20 0 XSIG012755          8093697
STM32F405RG                      DD342                            153   1   8   8   1 21    21 0 PA5.2               8212481
STM32F405RG                      DD342                            153   1   9   9   1 22    22 0                        0
STM32F405RG                      DD342                            153   1  10  10   1 23    23 0 T8_CH1N.2           7950337
STM32F405RG                      DD342                            153   1  11  11   1 41    41 0 CAN1_S.2            8003585
STM32F405RG                      DD342                            153   1  12  12   1 42    42 0 CAN2_S.2            7999489
STM32F405RG                      DD342                            153   1  13  13   1 43    43 0 CAN1.2              7540737
STM32F405RG                      DD342                            153   1  14  14   1 44    44 0 CAN1_RX.2           7536641
STM32F405RG                      DD342                            153   1  15  15   1 45    45 0 CAN1_TX.2           7532545
STM32F405RG                      DD342                            153   1  16  16   1 46    46 0 SWDIO.2             5869569
STM32F405RG                      DD342                            153   1  17  17   1 49    49 0 SWCLK.2             5865473
STM32F405RG                      DD342                            153   1  18  18   1 50    50 0 CAN_EN.2            8261633
STM32F405RG                      DD342                            153   1  19  19   1 26    26 0                        0
STM32F405RG                      DD342                            153   1  20  20   1 27    27 0                        0
STM32F405RG                      DD342                            153   1  21  21   1 28    28 0                        0
STM32F405RG                      DD342                            153   1  22  22   1 55    55 0 PON.2               4317185
STM32F405RG                      DD342                            153   1  23  23   1 56    56 0 CAN2.2              7573505
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
STM32F405RG                      DD342                            153   1  24  24   1 57    57 0 CAN2_RX.2           7569409
STM32F405RG                      DD342                            153   1  25  25   1 58    58 0 CAN2_TX.2           7565313
STM32F405RG                      DD342                            153   1  26  26   1 59    59 0 MOT_EN.2            4222977
STM32F405RG                      DD342                            153   1  27  27   1 61    61 0 I2C1_SCL.2          7684097
STM32F405RG                      DD342                            153   1  28  28   1 62    62 0 I2C1_SDA.2          7688193
STM32F405RG                      DD342                            153   1  29  29   1 29    29 0                        0
STM32F405RG                      DD342                            153   1  30  30   1 30    30 0                        0
STM32F405RG                      DD342                            153   1  31  31   1 33    33 0                        0
STM32F405RG                      DD342                            153   1  32  32   1 34    34 0 XSIG011441          4235265
STM32F405RG                      DD342                            153   1  33  33   1 35    35 0 T8_CH2N.2           7413761
STM32F405RG                      DD342                            153   1  34  34   1 36    36 0 T8_CH3N.2           8515585
STM32F405RG                      DD342                            153   1  35  35   1 8      8 0                        0
STM32F405RG                      DD342                            153   1  36  36   1 9      9 0                        0
STM32F405RG                      DD342                            153   1  37  37   1 10    10 0                        0
STM32F405RG                      DD342                            153   1  38  38   1 11    11 0 U.2                 8097793
STM32F405RG                      DD342                            153   1  39  39   1 24    24 0                        0
STM32F405RG                      DD342                            153   1  40  40   1 25    25 0                        0
STM32F405RG                      DD342                            153   1  41  41   1 37    37 0 T8_CH1.2            8536065
STM32F405RG                      DD342                            153   1  42  42   1 38    38 0 T8_CH2.2            8519681
STM32F405RG                      DD342                            153   1  43  43   1 39    39 0 T8_CH3.2            8523777
STM32F405RG                      DD342                            153   1  44  44   1 40    40 0                        0
STM32F405RG                      DD342                            153   1  45  45   1 51    51 0 XSIG012811          8273921
STM32F405RG                      DD342                            153   1  46  46   1 52    52 0 XSIG012810          8269825
STM32F405RG                      DD342                            153   1  47  47   1 53    53 0 XSIG012809          8265729
STM32F405RG                      DD342                            153   1  48  48   1 2      2 0 PC13.2              4268033
STM32F405RG                      DD342                            153   1  49  49   1 3      3 0 PC14.2              7675905
STM32F405RG                      DD342                            153   1  50  50   1 4      4 0 PC15.2              7671809
STM32F405RG                      DD342                            153   1  51  51   1 54    54 0 PG.2                5799937
STM32F405RG                      DD342                            153   1  52  52   1 5      5 0 XSIG011413          4124673
STM32F405RG                      DD342                            153   1  53  53   1 6      6 0 XSIG011411          4120577
STM32F405RG                      DD342                            153   1  54  54   1 31    31 0 XSIG011480          4354049
STM32F405RG                      DD342                            153   1  55  55   1 47    47 0 XSIG011428          4182017
STM32F405RG                      DD342                            153   2   1   1   2 63    63 0 GND                 8224769
STM32F405RG                      DD342                            153   2   1   1   3 18    18 0 GND                 8224769
STM32F405RG                      DD342                            153   2   1   1   4 12    12 0 GND                 8224769
STM32F405RG                      DD342                            153   2   1   1   5 1      1 0 V_MPU.2             8290305
STM32F405RG                      DD342                            153   3   1   1   6 64    64 0 V_MPU.2             8290305
STM32F405RG                      DD342                            153   3   1   1   7 48    48 0 V_MPU.2             8290305
STM32F405RG                      DD342                            153   3   1   1   8 32    32 0 V_MPU.2             8290305
STM32F405RG                      DD342                            153   3   1   1   9 19    19 0 V_MPU.2             8290305
STM32F405RG                      DD342                            153   3   1   1  10 13    13 0 V_MPU.2             8290305
STM32F405RG                      DD442                            152   1   1   1   1 60    60 0 BOOT.3              4558849
STM32F405RG                      DD442                            152   1   2   2   1 7      7 0 NRST.3              5894145
STM32F405RG                      DD442                            152   1   3   3   1 14    14 0 H1.3                8056833
STM32F405RG                      DD442                            152   1   4   4   1 15    15 0 H2.3                8060929
STM32F405RG                      DD442                            152   1   5   5   1 16    16 0 H3.3                8065025
STM32F405RG                      DD442                            152   1   6   6   1 17    17 0                        0
STM32F405RG                      DD442                            152   1   7   7   1 20    20 0 XSIG012751          8077313
STM32F405RG                      DD442                            152   1   8   8   1 21    21 0 PA5.3               8187905
STM32F405RG                      DD442                            152   1   9   9   1 22    22 0                        0
STM32F405RG                      DD442                            152   1  10  10   1 23    23 0 T8_CH1N.3           7954433
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
STM32F405RG                      DD442                            152   1  11  11   1 41    41 0 CAN1_S.3            8024065
STM32F405RG                      DD442                            152   1  12  12   1 42    42 0 CAN2_S.3            8019969
STM32F405RG                      DD442                            152   1  13  13   1 43    43 0 CAN1.3              7131137
STM32F405RG                      DD442                            152   1  14  14   1 44    44 0 CAN1_RX.3           7127041
STM32F405RG                      DD442                            152   1  15  15   1 45    45 0 CAN1_TX.3           7122945
STM32F405RG                      DD442                            152   1  16  16   1 46    46 0 SWDIO.3             5890049
STM32F405RG                      DD442                            152   1  17  17   1 49    49 0 SWCLK.3             5885953
STM32F405RG                      DD442                            152   1  18  18   1 50    50 0 CAN_EN.3            8302593
STM32F405RG                      DD442                            152   1  19  19   1 26    26 0                        0
STM32F405RG                      DD442                            152   1  20  20   1 27    27 0                        0
STM32F405RG                      DD442                            152   1  21  21   1 28    28 0                        0
STM32F405RG                      DD442                            152   1  22  22   1 55    55 0 PON.3               4657153
STM32F405RG                      DD442                            152   1  23  23   1 56    56 0 CAN2.3              7163905
STM32F405RG                      DD442                            152   1  24  24   1 57    57 0 CAN2_RX.3           7159809
STM32F405RG                      DD442                            152   1  25  25   1 58    58 0 CAN2_TX.3           7155713
STM32F405RG                      DD442                            152   1  26  26   1 59    59 0 MOT_EN.3            4562945
STM32F405RG                      DD442                            152   1  27  27   1 61    61 0 I2C1_SCL.3          4546561
STM32F405RG                      DD442                            152   1  28  28   1 62    62 0 I2C1_SDA.3          4542465
STM32F405RG                      DD442                            152   1  29  29   1 29    29 0                        0
STM32F405RG                      DD442                            152   1  30  30   1 30    30 0                        0
STM32F405RG                      DD442                            152   1  31  31   1 33    33 0                        0
STM32F405RG                      DD442                            152   1  32  32   1 34    34 0 XSIG011543          4575233
STM32F405RG                      DD442                            152   1  33  33   1 35    35 0 T8_CH2N.3           7208961
STM32F405RG                      DD442                            152   1  34  34   1 36    36 0 T8_CH3N.3           8482817
STM32F405RG                      DD442                            152   1  35  35   1 8      8 0                        0
STM32F405RG                      DD442                            152   1  36  36   1 9      9 0                        0
STM32F405RG                      DD442                            152   1  37  37   1 10    10 0                        0
STM32F405RG                      DD442                            152   1  38  38   1 11    11 0 U.3                 8052737
STM32F405RG                      DD442                            152   1  39  39   1 24    24 0                        0
STM32F405RG                      DD442                            152   1  40  40   1 25    25 0                        0
STM32F405RG                      DD442                            152   1  41  41   1 37    37 0 T8_CH1.3            8503297
STM32F405RG                      DD442                            152   1  42  42   1 38    38 0 T8_CH2.3            8495105
STM32F405RG                      DD442                            152   1  43  43   1 39    39 0 T8_CH3.3            8486913
STM32F405RG                      DD442                            152   1  44  44   1 40    40 0                        0
STM32F405RG                      DD442                            152   1  45  45   1 51    51 0 XSIG012825          8314881
STM32F405RG                      DD442                            152   1  46  46   1 52    52 0 XSIG012824          8310785
STM32F405RG                      DD442                            152   1  47  47   1 53    53 0 XSIG012823          8306689
STM32F405RG                      DD442                            152   1  48  48   1 2      2 0 PC13.3              4608001
STM32F405RG                      DD442                            152   1  49  49   1 3      3 0 PC14.3              7704577
STM32F405RG                      DD442                            152   1  50  50   1 4      4 0 PC15.3              7700481
STM32F405RG                      DD442                            152   1  51  51   1 54    54 0 PG.3                5804033
STM32F405RG                      DD442                            152   1  52  52   1 5      5 0 XSIG011515          4464641
STM32F405RG                      DD442                            152   1  53  53   1 6      6 0 XSIG011513          4460545
STM32F405RG                      DD442                            152   1  54  54   1 31    31 0 XSIG011582          4694017
STM32F405RG                      DD442                            152   1  55  55   1 47    47 0 XSIG011530          4521985
STM32F405RG                      DD442                            152   2   1   1   2 63    63 0 GND                 8224769
STM32F405RG                      DD442                            152   2   1   1   3 18    18 0 GND                 8224769
STM32F405RG                      DD442                            152   2   1   1   4 12    12 0 GND                 8224769
STM32F405RG                      DD442                            152   2   1   1   5 1      1 0 V_MPU.3             8298497
STM32F405RG                      DD442                            152   3   1   1   6 64    64 0 V_MPU.3             8298497
STM32F405RG                      DD442                            152   3   1   1   7 48    48 0 V_MPU.3             8298497
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
