
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
CAP-0402_100n_10%_X7R_50V        C246                             331   1   1   1   1 1      1 0 V_MPU.1             8282113
CAP-0402_100n_10%_X7R_50V        C246                             331   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C247                             329   1   1   1   1 1      1 0 V_MPU.1             8282113
CAP-0402_100n_10%_X7R_50V        C247                             329   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C248                             328   1   1   1   1 1      1 0 V_MPU.1             8282113
CAP-0402_100n_10%_X7R_50V        C248                             328   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C249                             327   1   1   1   1 1      1 0 V_MPU.1             8282113
CAP-0402_100n_10%_X7R_50V        C249                             327   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C267                             349   1   1   1   1 1      1 0 VM.1                8146945
CAP-0402_100n_10%_X7R_50V        C267                             349   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C269                             352   1   1   1   1 1      1 0 V_MOT.1             4038657
CAP-0402_100n_10%_X7R_50V        C269                             352   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C276                             371   1   1   1   1 1      1 0 V_H.1               4014081
CAP-0402_100n_10%_X7R_50V        C276                             371   1   2   1   1 2      2 0 GND                 8224769
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
CAP-0402_100n_10%_X7R_50V        C301                             354   1   1   1   1 1      1 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C301                             354   1   2   1   1 2      2 0 XSIG011332          3907585
CAP-0402_100n_10%_X7R_50V        C307                             366   1   1   1   1 1      1 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C307                             366   1   2   1   1 2      2 0 XSIG011309          3850241
